Player,2019_Overall,2019_Injury,2019_Age
Adrian Amos Jr,87,92,26
Mike Daniels,87,84,30
Brandin Cooks,87,92,25
Aqib Talib,87,87,33
Robert Woods,87,94,27
Justin Tucker,87,95,29
Ryan Kerrigan,87,99,31
Brandon Scherff,87,85,27
Jared Cook,87,84,32
Marshon Lattimore,87,84,23
Chris Carson,87,84,24
Tyler Lockett,87,86,26
Allen Robinson,86,89,26
Micah Hyde,86,93,28
Kareem Jackson,86,90,31
Phillip Lindsay,86,86,25
Damarious Randall,86,91,27
Hunter Henry,86,89,24
Desmond King II,86,94,24
Derwin James,86,89,23
Eric Ebron,86,90,26
Leighton Vander Esch,86,87,23
Brandon Linder,86,92,27
Marvin Jones Jr,86,89,29
Gerald McCoy,86,87,31
James White,86,88,27
Johnny Hekker,86,94,29
Mark Ingram II,86,86,29
Brandon Williams,86,87,30
Ryan Ramczyk,86,89,25
Cameron Heyward,86,89,30
Alejandro Villanueva,86,88,30
Jurrell Casey,86,94,29
Danielle Hunter,86,90,24
Linval Joseph,86,87,30
Xavier Rhodes,86,88,29
Tarik Cohen,85,86,24
Eddie Goldman,85,85,25
Tre'Davious White,85,90,24
Nick Chubb,85,86,23
Ndamukong Suh,85,93,32
Jack Doyle,85,85,29
Jaylon Smith,85,85,24
DeSean Jackson,85,84,32
Austin Hooper,85,90,24
Robbie Gould,85,90,36
Kyle Juszczyk,85,93,28
Golden Tate III,85,89,31
Andrew Norwell,85,91,27
Avery Williamson,85,92,27
Bryan Bulaga,85,82,30
Kawann Short,85,95,30
Michael Bennett,85,92,33
Jason McCourty,85,92,32
Lamarcus Joyner,85,93,28
John Johnson III,85,93,23
Marlon Humphrey,85,89,23
Sam Koch,85,85,37
Ronnie Stanley,85,91,25
Demario Davis,85,91,30
Maurkice Pouncey,85,87,30
Ben Roethlisberger,85,92,37
Stephon Tuitt,85,84,26
Dalvin Cook,85,84,24
Everson Griffen,85,88,31
Kyle Rudolph,85,87,29
Lamar Miller,85,87,28
William Jackson,84,88,26
Jarvis Landry,84,90,26
Sheldon Richardson,84,89,28
O.J. Howard,84,91,24
Larry Fitzgerald,84,94,36
Marcus Gilbert,84,94,31
Anthony Castonzo,84,87,31
Darius Leonard,84,93,24
Chris Jones,84,92,30
Sean Lee,84,78,33
Kenny Stills,84,92,27
Laremy Tunsil,84,92,25
Dee Ford,84,86,28
Evan Engram,84,88,24
Jabrill Peppers,84,87,23
Aldrick Rosas,84,83,24
Yannick Ngakoue,84,89,24
Leonard Williams,84,85,25
Cam Newton,84,94,30
David Andrews,84,87,27
Sony Michel,84,87,24
Joe Thuney,84,94,26
Michael Brockers,84,95,28
Nickell Robey-Coleman,84,87,27
Cooper Kupp,84,89,26
Tony Jefferson,84,89,27
Jimmy Smith,84,87,31
Thomas Morstead,84,95,33
Joe Haden,84,95,30
Ryan Shazier,84,79,26
Dion Lewis,84,83,28
Cameron Wake,84,92,37
Justin Reid,84,94,22
Charles Leno Jr,83,90,27
Tyler Boyd,83,87,24
Cole Beasley,83,91,30
Jerry Hughes,83,90,31
Baker Mayfield,83,91,24
D.J. Swearinger Sr,83,93,28
Terrell Suggs,83,88,36
Frank Clark,83,86,26
Ryan Kelly,83,90,26
Jason Witten,83,92,37
Reshad Jones,83,87,31
Xavien Howard,83,90,26
Nelson Agholor,83,90,26
Tevin Coleman,83,82,26
Marquise Goodwin,83,86,28
Mike McGlinchey,83,94,24
Myles Jack,83,86,23
Kenny Golladay,83,88,25
Jaire Alexander,83,87,22
Jimmy Graham,83,93,32
Za'Darius Smith,83,88,26
Josh Gordon,83,88,28
Dont'a Hightower,83,90,29
Tyrell Williams,83,85,27
Jared Goff,83,90,24
Landon Collins,83,87,25
Matthew Ioannidis,83,87,25
Da'Ron Payne,83,95,22
Adrian Peterson,83,80,34
Sheldon Rankins,83,90,25
Marcus Williams,83,90,22
Michael Dickson,83,90,23
James Conner,83,88,24
Vance McDonald,83,84,29
Derrick Henry,83,90,25
Rodger Saffold III,83,84,31
Adoree' Jackson,83,88,23
Johnathan Joseph,83,86,35
Benardrick McKinney,83,94,26
Whitney Mercilus,83,95,29
Taylor Gabriel,82,87,28
Carlos Dunlap,82,86,30
Lorenzo Alexander,82,90,36
LeSean McCoy,82,81,31
David Njoku,82,88,23
Olivier Vernon,82,83,28
Chandler Jones,82,84,29
Austin Ekeler,82,88,24
Mike Pouncey,82,83,30
Sammy Watkins,82,82,26
Malik Hooker,82,85,23
Marlon Mack,82,86,23
Jabaal Sheard,82,89,30
Ronald Darby,82,87,25
Carson Wentz,82,86,26
Mohamed Sanu Sr,82,93,30
Matt Breida,82,83,24
Jerick McKinnon,82,85,27
Jason Verrett,82,71,28
Robby Anderson,82,85,26
Kelechi Osemele,82,88,30
Brian Winters,82,87,28
Blake Martinez,82,92,25
Patrick Chung,82,92,32
Lawrence Guy,82,92,29
Demaryius Thomas,82,89,31
Benjamin Watson,82,85,38
Rob Havenstein,82,90,27
Marcus Peters,82,93,26
Jonathan Allen,82,85,24
Patrick Robinson,82,87,31
Duane Brown,82,93,34
Ramon Foster,82,87,33
T.J. Watt,82,86,24
Corey Davis,82,87,24
Logan Ryan,82,94,28
Anthony Barr,82,85,27
Will Fuller V,82,84,25
Tashaun Gipson Sr,82,94,29
Deshaun Watson,82,89,23
Prince Amukamara,81,88,30
Roquan Smith,81,93,22
Cody Whitehair,81,90,27
Jessie Bates III,81,90,22
Carl Lawson,81,81,24
Frank Gore,81,86,36
Mitch Morse,81,87,27
Bryce Callahan,81,87,27
Chris Godwin,81,97,23
Mike Williams,81,84,24
Dustin Colquitt,81,95,37
Braden Smith,81,91,23
Dak Prescott,81,95,26
Zach Brown,81,90,29
Ricardo Allen,81,91,27
Sterling Shepard,81,90,26
Leonard Fournette,81,82,24
Trumaine Johnson,81,87,29
Danny Amendola,81,81,33
Kerryon Johnson,81,85,22
Aaron Jones,81,85,24
D.J. Moore,81,93,22
Austin Blythe,81,93,27
Eric Weddle,81,97,34
Brandon Carr,81,99,33
Matthew Judon,81,84,27
Vernon Davis,81,90,35
Paul Richardson Jr,81,85,27
Josh Norman,81,96,31
Tress Way,81,92,29
D.J. Fluker,81,92,28
Mychal Kendricks,81,87,28
Jarran Reed,81,91,25
K.J. Wright,81,92,30
Taylor Lewan,81,88,28
Kenny Vaccaro,81,92,28
Kirk Cousins,81,88,31
Ha Ha Clinton-Dix,80,95,26
Danny Trevathan,80,85,29
Andy Dalton,80,96,31
Jordan Poyer,80,87,28
Bradley Chubb,80,96,23
Ron Leary,80,86,30
Justin Simmons,80,88,25
Derek Wolfe,80,89,29
Duke Johnson Jr,80,88,25
Vita Vea,80,92,24
Budda Baker,80,89,23
Charles Clay,80,95,30
Jordan Hicks,80,78,27
Damien Williams,80,89,27
Pierre Desir,80,91,28
Devin Funchess,80,88,25
Chidobe Awuzie,80,89,24
Randall Cobb,80,87,29
Minkah Fitzpatrick,80,94,22
Dallas Goedert,80,90,24
Jordan Howard,80,87,24
Malik Jackson,80,91,29
Dante Pettis,80,88,23
Jaquiski Tartt,80,92,27
Janoris Jenkins,80,89,30
Dalvin Tomlinson,80,88,25
Marcell Dareus,80,89,29
Marqise Lee,80,85,27
Quinnen Williams,80,91,21
C.J. Anderson,80,87,28
Corey Linsley,80,87,28
Preston Smith,80,93,26
Donte Jackson,80,87,23
Taylor Moton,80,97,25
Michael Palardy,80,81,27
Trai Turner,80,92,26
Marcus Cannon,80,84,31
Stephen Gostkowski,80,88,35
Derek Carr,80,92,28
Samson Ebukam,80,92,24
Greg Zuerlein,80,95,31
Ted Ginn Jr,80,89,34
Larry Warford,80,88,28
Ezekiel Ansah,80,85,30
Shaquill Griffin,80,92,24
Mike Hilton,80,87,25
Kyle Long,79,86,30
Giovani Bernard,79,83,27
Shawn Williams,79,91,28
John Brown,79,87,29
Ed Oliver Jr,79,92,21
Joe Schobert,79,91,25
J.C. Tretter,79,85,28
Cameron Brate,79,91,28
Travis Benjamin,79,81,29
Thomas Davis Sr,79,82,36
Harrison Butker,79,87,24
Kenny Moore II,79,88,24
Anthony Brown,79,91,25
Tyrone Crawford,79,83,29
Kenyan Drake,79,84,25
DeVante Parker,79,87,26
Albert Wilson,79,91,27
Rodney McLeod Jr,79,92,29
Andrew Sendejo,79,87,31
De'Vondre Campbell,79,90,26
Damontae Kazee,79,90,26
Jake Matthews,79,98,27
Calvin Ridley,79,86,24
Josh Lambo,79,92,28
Dede Westbrook,79,83,25
Henry Anderson,79,82,28
Jamison Crowder,79,88,26
Quincy Enunwa,79,93,27
Steve McLendon,79,90,33
Da'Shawn Hand,79,87,23
Frank Ragnow,79,89,23
Matthew Stafford,79,91,31
James Bradberry,79,89,26
Graham Gano,79,89,32
Daryl Williams,79,89,27
Gareon Conley,79,86,24
Isaiah Crowell,79,88,26
Gerald Everett,79,88,25
Tyler Higbee,79,88,26
Mark Andrews,79,88,23
Orlando Brown Jr,79,93,23
Pernell McPhee,79,85,30
Patrick Ricard,79,79,25
Dominique Rodgers-Cromartie,79,86,33
Chris Thompson,79,80,28
Cameron Meredith,79,86,26
Latavius Murray,79,81,28
Tre Flowers,79,90,24
Bradley McDougald,79,89,28
Javon Hargrave,79,89,26
Malcolm Butler,79,90,29
Marcus Mariota,79,82,25
Wesley Woodyard,79,95,33
Dre Kirkpatrick,78,85,29
C.J. Uzomah,78,88,26
Zay Jones,78,94,24
Tyler Kroft,78,84,26
Shaq Lawson,78,84,25
Quinton Spain,78,95,28
Ja'Wuan James,78,88,27
Jason Pierre-Paul,78,93,30
Uchenna Nwosu,78,92,22
Trevor Williams,78,89,25
Laurent Duvernay-Tardif,78,93,28
Clayton Geathers,78,89,27
Adam Vinatieri,78,90,46
Michael Gallup,78,90,23
Robert Quinn,78,91,29
Nigel Bradham,78,96,29
Tim Jernigan,78,90,26
Avonte Maddox,78,84,23
Matt Bosher,78,92,31
Takkarist McKinley,78,87,23
Kwon Alexander,78,84,25
Arik Armstead,78,82,25
Nick Bosa,78,84,21
Jimmy Garoppolo,78,93,27
Jake Ryan,78,85,27
Marcus Maye,78,87,26
Jesse James,78,92,25
Jermaine Kearse,78,96,29
Rashaan Melvin,78,86,29
Matt Prater,78,85,35
Dontari Poe,78,93,29
Curtis Samuel,78,90,23
Shaq Thompson,78,93,25
Trent Brown,78,85,26
Maurice Hurst,78,83,24
Karl Joseph,78,84,25
Doug Martin,78,86,30
Clay Matthews,78,88,33
Hayden Hurst,78,90,26
Willie Snead IV,78,90,26
Derrius Guice,78,89,22
Josh Hill,78,89,29
David Onyemata,78,89,26
Rashaad Penny,78,92,23
Jack Conklin,78,92,25
Adam Humphries,78,87,26
Harold Landry III,78,88,23
Ben Jones,78,92,30
Taywan Taylor,78,94,24
Eric Kendricks,78,83,27
Trae Waynes,78,88,27
D.J. Reader,78,88,25
Bradley Roby,78,87,27
James Daniels,77,86,21
Mike Davis,77,77,26
Leonard Floyd,77,86,26
Buster Skrine,77,89,30
Darqueze Dennard,77,87,27
Dion Dawkins,77,89,25
Stephen Hauschka,77,90,34
Matt Milano,77,94,25
Trent Murphy,77,90,28
T.J. Yeldon,77,84,25
Garett Bolles,77,87,27
Britton Colquitt,77,91,34
Demetrius Harris,77,90,28
Larry Ogunjobi,77,90,25
Peyton Barber,77,88,25
Shaquil Barrett,77,88,26
Robert Alford,77,86,30
Andy Lee,77,84,37
Brooks Reed,77,87,32
Adrian Phillips,77,92,27
Anthony Hitchens,77,94,27
Anthony Sherman,77,95,30
Nyheim Hines,77,88,22
Spencer Ware,77,86,27
Xavier Woods,77,93,24
Matt Haack,77,94,25
Adrian Clayborn,77,87,31
Antoine Bethea,77,89,35
Will Hernandez,77,94,23
Josh Allen2,77,93,22
Keelan Cole,77,90,26
Nick Foles,77,87,30
Brian Poole,77,86,26
Justin Coleman,77,89,26
Quandre Diggs,77,92,26
T.J. Hockenson,77,91,22
Theo Riddick,77,89,28
A'Shawn Robinson,77,92,24
Rick Wagner,77,84,29
Marcedes Lewis,77,85,35
Chris Hogan,77,88,31
Torrey Smith,77,92,30
Phillip Dorsett,77,83,26
Kyle Van Noy,77,87,28
Ryan Grant,77,87,28
Gabe Jackson,77,92,28
Dante Fowler Jr,77,85,25
Nick Boyle,77,92,26
Marquise Brown,77,86,22
Seth Roberts,77,90,28
Tavon Young,77,91,25
Josh Doctson,77,84,26
Quinton Dunbar,77,89,27
Mason Foster,77,87,30
Alex Smith,77,81,35
Wil Lutz,77,82,25
Jason Myers,77,85,28
Al Woods,77,88,32
Rashaan Evans,77,88,23
Brett Kern,77,87,33
Nick Kwiatkoski,76,90,26
Aaron Lynch,76,88,26
Clint Boling,76,97,30
Todd Davis,76,94,27
Brandon McManus,76,95,28
Courtland Sutton,76,91,23
Genard Avery,76,86,24
Seth DeValve,76,88,26
Terrance Mitchell,76,86,27
Ryan Jensen,76,92,28
Bradley Pinion,76,92,25
Jameis Winston,76,96,25
Ricky Seals-Jones,76,85,24
Christian Kirk,76,91,22
Corey Peters,76,88,31
Maxx Williams,76,83,25
Virgil Green,76,88,31
Russell Okung,76,80,30
Carlos Hyde,76,86,28
Derrick Nnadi,76,89,23
Emmanuel Ogbah,76,90,25
Alex Okafor,76,87,28
Denico Autry,76,88,29
La'el Collins,76,87,26
Randy Gregory,76,84,26
Allen Hurns,76,86,27
Dwayne Allen,76,87,29
Jerome Baker,76,91,22
Bobby McCain,76,84,26
Derek Barnett,76,87,23
Sidney Jones IV,76,77,23
Ito Smith,76,88,23
Rhett Ellison,76,80,30
Dexter Lawrence II,76,89,21
Christopher Herndon IV,76,88,23
Darryl Roberts,76,85,28
Taylor Decker,76,91,25
Tavon Wilson Sr,76,87,29
Kevin King,76,86,24
Jamaal Williams,76,86,24
Mario Addison,76,90,31
Eric Reid,76,90,27
Rex Burkhead,76,84,29
Jonathan Jones,76,84,25
Vontaze Burfict,76,96,28
Johnathan Hankins,76,90,27
Richie Incognito,76,89,36
Tahir Whitehead,76,96,29
Kenneth Dixon,76,82,25
Lamar Jackson,76,92,22
Anthony Levine Sr,76,88,32
Eli Apple,76,90,24
Vonn Bell,76,88,24
Justin Britt,76,85,28
Ed Dickson,76,88,32
D.K. Metcalf,76,81,21
David Moore,76,91,24
Steven Nelson,76,94,26
Vince Williams,76,81,29
DaQuan Jones,76,90,27
Jahleel Addae,76,92,29
Zach Cunningham,76,91,24
Zach Fulton,76,92,27
Bobby Massie,75,90,30
Anthony Miller,75,87,24
Cordarrelle Patterson,75,94,28
Mitchell Trubisky,75,93,25
Preston Brown,75,95,26
Lee Smith,75,84,31
Jake Butt,75,82,24
Royce Freeman,75,87,23
Will Parks,75,89,25
Antonio Callaway,75,88,22
Christian Kirksey,75,92,27
Justin Evans,75,87,24
Carl Nassib,75,89,26
Byron Murphy Jr,75,86,21
Robert Nkemdiche,75,85,24
Jatavis Brown,75,88,25
Margus Hunt,75,85,32
Kemoko Turay,75,85,24
Taco Charlton,75,94,24
Ryan Fitzpatrick,75,89,36
Mike Gesicki,75,88,23
Davon Godchaux,75,89,24
Jakeem Grant,75,85,26
Christian Wilkins,75,94,23
Corey Clement,75,86,24
Vinny Curry,75,90,31
Vic Beasley Jr,75,90,27
Tyeler Davison,75,88,26
Kendrick Bourne,75,88,24
Jordan Matthews,75,88,27
Mike Person,75,90,31
Laken Tomlinson,75,92,27
Jimmie Ward,75,76,28
Nate Solder,75,87,31
Taven Bryan,75,94,23
Chris Conley,75,90,26
James O'Shaughnessy,75,85,27
Jordan Jenkins,75,86,25
Sam Martin,75,92,29
Kyler Fackrell,75,86,27
Josh Jackson,75,90,23
Dean Lowry,75,91,25
Brian Burns,75,92,21
Jarius Wright,75,94,29
Ryan Allen,75,95,29
James Develin,75,95,31
Duron Harmon,75,92,28
JC Jackson,75,88,23
Nevin Lawson,75,89,28
Brandon Marshall,75,89,29
Jalen Richard,75,88,25
Luke Willson,75,79,29
Cory Littleton,75,86,25
Josh Reynolds,75,87,24
Gus Edwards,75,88,24
Willie Henry,75,87,25
Reuben Foster,75,77,25
Dustin Hopkins,75,87,28
Morgan Moses,75,89,28
Chase Roullier,75,93,26
Ken Crawley,75,90,26
P.J. Williams,75,90,26
Nick Vannett,75,86,26
Jordan Berry,75,88,28
Donte Moncrief,75,91,26
James Washington,75,93,23
Jayon Brown,75,90,24
Tajae Sharpe,75,89,24
Irv Smith Jr,75,93,21
Briean Boddy-Calhoun,75,89,26
Aaron Colvin,75,81,27
Darren Fells,75,90,33
Bilal Nichols,74,88,22
Adam Shaheen,74,88,24
Cordy Glenn,74,89,29
John Ross III,74,85,23
Josh Allen,74,87,23
Tremaine Edmunds,74,93,21
Star Lotulelei,74,88,29
Harrison Phillips,74,88,23
Levi Wallace,74,88,24
Noah Fant,74,89,21
Joe Flacco,74,94,34
Adam Gotsis,74,87,26
Shelby Harris,74,90,28
Jeff Heuerman,74,84,26
Morgan Burnett,74,85,30
T.J. Carrie,74,79,29
Vernon Hargreaves III,74,84,24
Devin White,74,93,21
Haason Reddick,74,90,24
Denzel Perryman,74,83,26
Jerry Tillery,74,85,22
Bashaud Breeland,74,89,27
Eric Fisher,74,91,28
Demarcus Robinson,74,89,24
Matthias Farley,74,90,27
Mark Glowinski,74,92,27
Chester Rogers,74,88,25
Rigoberto Sanchez,74,91,24
Quincy Wilson,74,87,23
Maliek Collins,74,89,24
Jourdan Lewis,74,94,24
Brett Maher,74,84,29
Raekwon McMillan,74,90,23
Jake Elliott,74,86,24
Jalen Mills,74,88,25
Richard Rodgers,74,88,27
Will Tye,74,88,27
Raheem Mostert,74,86,27
Trent Taylor,74,88,25
Solomon Thomas,74,96,24
Fred Warner,74,86,22
Wayne Gallman Jr,74,89,24
B.J. Hill,74,91,23
Kelvin Beachum,74,95,30
Sam Darnold,74,88,22
Ty Montgomery,74,82,26
Graham Glasgow,74,89,27
Devon Kennard,74,86,28
Geronimo Allison,74,87,25
Mason Crosby,74,90,34
JK Scott,74,91,22
Tramon Williams,74,90,36
Bruce Irvin,74,94,31
Ja'Whaun Bentley,74,82,23
N'Keal Harry,74,93,21
Dontrelle Inman,74,92,30
Danny Shelton,74,90,26
John Simon,74,86,28
Clelin Ferrell,74,87,22
Josh Jacobs,74,84,21
Patrick Onwuasor,74,89,27
Tim Williams,74,88,25
Alex Anzalone,74,79,24
Zach Line,74,92,29
Tre'Quan Smith,74,92,23
Mike Iupati,74,88,32
J.D. McKissic,74,88,26
Barkevious Mingo,74,90,28
Tedric Thompson,74,86,24
Terrell Edmunds,74,88,22
Ryan Switzer,74,92,24
Jeffery Simmons Jr,74,84,22
Jonnu Smith,74,88,24
Ryan Succop,74,96,32
Ryan Tannehill,74,86,31
Ameer Abdullah,74,84,26
Mackensie Alexander,74,89,25
Pat Elflein,74,92,25
Ben Gedeon,74,96,24
Ka'imi Fairbairn,74,83,25
Randy Bullock,73,87,29
Sam Hubbard,73,92,24
Jordan Willis,73,93,24
Jason Croom,73,82,25
Taron Johnson,73,87,23
DaeSean Hamilton,73,92,24
Rashard Higgins,73,90,24
Greedy Williams,73,89,21
Anthony Zettel,73,92,27
Kyler Murray,73,88,22
Justin Pugh,73,88,29
Justin Jackson,73,91,23
Forrest Lamp,73,92,25
Brandon Mebane,73,87,34
Darron Lee,73,90,24
Reggie Ragland,73,87,25
Derrick Kindred,73,88,25
Tavon Austin,73,84,29
Christian Covington,73,81,25
Jeff Heath,73,91,28
George Iloka,73,93,29
Blake Jarwin,73,89,25
Antwaun Woods,73,86,26
Kiko Alonso,73,82,29
T.J. McDonald,73,84,28
Jason Sanders,73,83,23
J.J. Arcega-Whiteside,73,88,22
Kamu Grugier-Hill,73,92,25
Cre'Von LeBlanc,73,87,25
Justin Hardy,73,92,27
Luke Stocker,73,83,31
Ronald Blair III,73,91,26
Garrett Celek,73,85,31
Adrian Colbert,73,89,25
Malcolm Smith,73,85,30
K'Waun Williams,73,91,28
Cody Latimer,73,81,26
Alfred Blue,73,79,28
D.J. Hayden,73,80,29
Terrelle Pryor Sr,73,88,30
Geoff Swaim,73,82,25
Lac Edwards,73,85,27
Nathan Shepherd,73,90,25
Christian Jones,73,94,28
Rashan Gary,73,86,21
Marquez Valdes-Scantling,73,90,24
Ross Cockrell,73,93,28
Aldrick Robinson,73,90,30
Ian Thomas,73,84,23
Jamie Collins Sr,73,95,29
Isaiah Wynn,73,88,23
Benson Mayowa,73,88,28
DeAndre Washington,73,90,26
Daryl Worley,73,89,24
Alex Lewis,73,89,27
Shane Ray,73,88,26
Case Keenum,73,85,31
Fabian Moreau,73,85,25
Montez Sweat,73,85,22
Teddy Bridgewater,73,83,26
Malcom Brown,73,92,25
Trey Hendrickson,73,92,24
Jaron Brown,73,89,29
Will Dissly,73,89,23
Bud Dupree,73,89,26
Eli Rogers,73,88,26
Dan Bailey,73,81,31
Garrett Bradbury,73,86,24
Anthony Harris,73,86,27
Matt Wile,73,81,27
Keke Coutee,73,89,22
D'Onta Foreman,73,87,23
Pat O'Donnell,72,85,28
Andrew Billings,72,87,24
Nick Vigil,72,90,26
Jonah Williams,72,87,21
Robert Foster,72,88,25
E.J. Gaines,72,90,27
Kevin Johnson,72,74,27
Devin Singletary,72,94,21
Devontae Booker,72,90,27
Andre Holmes,72,82,31
Andy Janovich,72,87,26
Chris Hubbard,72,91,28
Sean Murphy-Bunting,72,90,22
Andre Ellington,72,76,30
Breshad Perriman,72,76,25
Noah Spence,72,88,25
Hakeem Butler,72,92,23
Chase Edmonds,72,84,23
D.J. Humphries,72,82,25
Andy Isabella,72,90,22
J.R. Sweezy,72,87,30
Kevin White,72,74,27
Michael Davis,72,88,24
Jaylen Watkins,72,88,27
Breeland Speaks,72,90,23
Tyquan Lewis,72,89,24
Trysten Hill,72,90,21
Charles Harris,72,89,24
Nick O'Leary,72,88,27
Eric Rowe,72,84,26
Josh Adams,72,87,22
Rasul Douglas,72,90,24
Miles Sanders,72,89,22
Wendell Smallwood,72,89,25
Corey Coleman,72,87,25
B.J. Goodson,72,89,26
Eli Manning,72,99,38
Russell Shepard,72,89,28
Michael Thomas,72,90,29
Cody Davis,72,90,30
Abry Jones,72,87,27
Josh Bellamy,72,92,30
Brandon Copeland,72,87,28
Jachai Polite,72,87,22
Jarrad Davis,72,80,23
Mike Ford,72,85,24
Michael Roberts,72,90,25
Tracy Walker,72,90,24
Darnell Savage Jr,72,88,22
Jace Sternberger,72,93,22
Deatrich Wise Jr,72,88,25
Mike Pennel Jr,72,92,28
Obi Melifonwu,72,84,25
Justin Ellis,72,88,28
Marquel Lee,72,93,23
Malcolm Brown,72,87,26
Darrell Henderson Jr,72,89,22
Tyus Bowser,72,88,24
Chris Moore,72,89,26
Dwayne Haskins Jr,72,91,22
Marcus Davenport,72,89,22
A.J. Klein,72,91,28
Andrus Peat,72,87,25
Craig Robertson,72,87,31
Cassius Marsh,72,92,27
Tyson Alualu,72,95,32
Mark Barron,72,81,29
Devin Bush,72,89,21
Sean Davis,72,90,25
A.J. Brown,72,88,22
MyCole Pruitt,72,84,27
Josh Kline,72,90,29
Laquon Treadwell,72,88,24
Dylan Cole,72,86,25
Jordan Thomas,72,88,23
David Montgomery,71,87,22
Billy Price,71,87,24
Drew Sample,71,88,23
Rafael Bush,71,87,32
Eli Harold,71,92,25
Isaiah McKenzie,71,87,24
Ty Nsekhe,71,85,33
Josey Jewell,71,91,24
Connor McGovern,71,90,26
Jaelen Strong,71,86,25
Kendell Beckwith,71,84,24
Carlton Davis III,71,89,22
David Amerson,71,91,27
Tramaine Brock Sr,71,93,31
Damiere Byrd,71,81,26
T.J. Logan,71,89,24
Nasir Adderley,71,86,22
Michael Badgley,71,89,24
Tyrod Taylor,71,89,30
Xavier Williams,71,87,27
Jacoby Brissett,71,90,26
Parris Campbell,71,89,23
Jordan Wilkins,71,82,25
Dorance Armstrong,71,87,22
Dalton Schultz,71,91,23
Connor Williams,71,86,22
Brice Butler,71,88,29
Akeem Spence,71,95,27
Vincent Taylor,71,92,25
Mack Hollins,71,89,25
Joshua Perkins,71,86,26
Kenjon Barner,71,88,30
Isaiah Oliver,71,91,22
Foyesade Oluokun,71,89,24
Eric Saubert,71,91,25
Deadrin Senat,71,91,25
Giorgio Tavecchio,71,90,29
Deebo Samuel,71,90,23
