Player,2020_Overall,2020_Age,2020_Injury
Joe Mixon,89,24,92
Austin Hooper,89,25,90
Alex Mack,89,34,98
Derwin James Jr,89,24,89
Casey Hayward Jr,89,30,87
Eddie Jackson,89,26,82
Ali Marpet,89,27,90
DeMarcus Lawrence,89,28,85
Lane Johnson,89,30,92
Danielle Hunter,89,25,90
Eric Kendricks,89,28,83
Earl Thomas III,88,31,91
Chris Godwin,88,24,97
Bryan Bulaga,88,31,82
Evan Engram,88,25,88
Za'Darius Smith,88,27,89
Patrick Peterson,88,30,97
Akiem Hicks,88,30,94
Dont'a Hightower,88,30,90
Micah Hyde,88,29,93
Josh Jacobs,88,22,84
Tyler Lockett,88,27,86
Byron Jones,88,27,90
A.J. Green,88,32,84
Darius Slay Jr,88,29,92
Geno Atkins,88,32,85
Alvin Kamara,88,25,85
Melvin Ingram III,88,31,89
Fred Warner,87,23,86
Le'Veon Bell,87,28,86
DeForest Buckner,87,26,91
Brandon Linder,87,28,92
Julian Edelman,87,34,88
Kareem Hunt,87,25,88
Vita Vea,87,25,92
La'el Collins,87,27,87
Brandon Scherff,87,28,85
Desmond King II,87,25,94
Matt Ryan,87,35,98
T.Y. Hilton,87,30,89
Brandon Graham,87,32,93
Kawann Short,87,31,95
Emmanuel Sanders,87,33,87
Stephon Tuitt,87,27,84
Chris Harris Jr,87,31,92
Kareem Jackson,87,32,90
Justin Tucker,87,30,95
Minkah Fitzpatrick,87,23,94
Trent Brown,87,27,85
Jared Cook,87,33,84
Chris Carson,86,25,84
Joel Bitonio,86,28,92
Robert Woods,86,28,94
Mark Andrews,86,24,88
T.J. Watt,86,25,88
Arik Armstead,86,26,82
Adrian Amos,86,27,92
Ndamukong Suh,86,33,93
Kenny Golladay,86,26,88
Shaq Mason,86,27,91
Matthew Ioannidis,86,26,87
Greg Olsen,86,35,86
Deshaun Watson,86,24,89
Trey Flowers,86,27,94
Denzel Ward,86,23,88
Todd Gurley II,86,26,85
Mark Ingram II,86,30,86
Brandon Williams,86,31,87
JuJu Smith-Schuster,86,23,90
Kyle Juszczyk,86,29,93
Marshon Lattimore,86,24,84
Budda Baker,86,24,89
Kendall Fuller,86,25,84
Kyle Van Noy,86,29,87
Deion Jones,86,25,87
Johnny Hekker,86,30,94
Andrew Whitworth,86,38,90
Maurkice Pouncey,86,31,87
Malcolm Jenkins,85,32,97
Marcus Williams,85,23,90
Jarvis Landry,85,27,91
Ryan Kelly,85,27,90
Gerald McCoy,85,32,87
Kyle Fuller,85,28,89
Marcus Peters,85,27,93
Jason McCourty,85,33,92
Phillip Lindsay,85,26,86
D.J. Moore,85,23,93
Dee Ford,85,29,86
Mike McGlinchey,85,25,94
Austin Ekeler,85,25,88
Linval Joseph,85,31,87
Anthony Castonzo,85,32,87
Justin Houston,85,31,88
Kevin Zeitler,85,30,91
Marvin Jones Jr,85,30,89
Jordan Poyer,85,29,87
Shaquil Barrett,85,27,88
Hunter Henry,85,25,84
Darren Waller,85,27,91
Marlon Mack,85,24,86
Darius Leonard,85,25,93
Josh Lambo,85,29,92
C.J. Mosley,85,28,86
Joe Thuney,85,27,94
Brandin Cooks,85,26,86
Laremy Tunsil,85,26,92
Eddie Goldman,84,26,85
Shaquill Griffin,84,25,92
Jurrell Casey,84,30,94
Preston Smith,84,27,93
Duane Brown,84,35,93
Rodger Saffold III,84,32,84
Justin Reid,84,23,94
Raheem Mostert,84,28,86
Alshon Jeffery,84,30,87
Brett Kern,84,34,87
Carson Wentz,84,27,84
Golden Tate III,84,32,89
David Andrews,84,28,87
Keanu Neal,84,25,87
Justin Coleman,84,27,89
Dak Prescott,84,27,95
Melvin Gordon III,84,27,89
Courtland Sutton,84,24,91
DeVante Parker,84,27,87
Sam Koch,84,38,85
Ryan Kerrigan,84,32,98
Eric Ebron,84,27,88
Taylor Lewan,84,29,88
Kyle Rudolph,84,30,87
A.J. Bouye,84,29,83
John Johnson III,84,24,92
D.J. Reader,84,26,88
Avery Williamson,84,28,92
Robby Anderson,84,27,85
Tyler Boyd,83,25,87
Tevin Coleman,83,27,82
Leonard Fournette,83,25,82
Andrew Norwell,83,28,91
Tress Way,83,30,92
Thomas Morstead,83,34,95
Roquan Smith,83,23,92
Jimmy Smith,83,32,78
Jimmy Garoppolo,83,28,93
Jimmie Ward,83,29,76
DeSean Jackson,83,33,81
Calvin Ridley,83,25,86
Joe Haden,83,31,95
Jonathan Jones,83,26,84
Larry Fitzgerald,83,37,94
Leighton Vander Esch,83,24,87
Jamie Collins,83,30,95
Orlando Brown Jr,83,24,93
Matthew Judon,83,28,84
Adoree' Jackson,83,24,88
Anthony Harris,83,28,86
Frank Clark,83,27,86
Yannick Ngakoue,83,25,89
Frank Ragnow,83,24,89
Michael Brockers,83,29,95
Da'Ron Payne,83,23,95
Matthew Stafford,83,32,89
Cole Beasley,83,31,91
Desmond Trufant,83,29,95
Patrick Chung,83,33,92
Damien Williams,83,28,89
Carlos Dunlap,82,31,86
John Brown,82,30,87
Mitch Morse,82,28,87
Xavien Howard,82,27,89
Malik Hooker,82,24,85
Damarious Randall,82,28,91
Alejandro Villanueva,82,31,88
Kwon Alexander,82,26,82
Kirk Cousins,82,32,88
Olivier Vernon,82,29,83
Kerryon Johnson,82,23,85
Braden Smith,82,24,91
Jason Peters,82,38,86
Joe Schobert,82,26,91
Donte Jackson,82,24,87
Nickell Robey-Coleman,82,28,87
Devin Singletary,82,22,94
James White,82,28,88
Harrison Butker,82,25,87
Tyler Higbee,82,27,88
Chris Boswell,82,29,92
Robbie Gould,82,37,90
Lamarcus Joyner,82,29,93
Chidobe Awuzie,82,25,89
JC Jackson,82,24,88
Philip Rivers,82,38,98
Kenyan Drake,82,26,84
Ryan Jensen,82,29,92
Javon Hargrave,82,27,89
Sterling Shepard,82,27,90
Tyrell Williams,82,28,85
Jonathan Allen,82,25,85
Sheldon Rankins,82,26,88
Will Fuller V,82,26,82
Benardrick McKinney,82,27,94
Harold Landry III,82,24,88
Robert Quinn,82,30,91
Jerry Hughes,82,32,90
Terry McLaurin,82,23,91
Ben Roethlisberger,81,38,86
Mike Hilton,81,26,87
A.J. Brown,81,23,88
Charles Leno Jr,81,28,90
Jaquiski Tartt,81,28,92
Sheldon Richardson,81,29,89
James Conner,81,25,88
Mike Williams,81,25,84
Chris Jones,81,31,92
Jaylon Smith,81,25,85
Dallas Goedert,81,25,90
Dante Fowler Jr,81,26,84
Patrick Ricard,81,26,84
Cody Whitehair,81,28,90
Ed Oliver,81,22,92
Bradley Chubb,81,24,96
Marcus Maye,81,27,87
Steven Nelson,81,27,94
Ricardo Allen,81,28,91
Jack Doyle,81,30,85
Myles Jack,81,24,86
Matt Prater,81,36,85
Danny Shelton,81,27,90
Whitney Mercilus,81,30,95
Kenny Stills,81,28,92
William Jackson III,81,27,88
Duke Johnson Jr,81,26,88
Sammy Watkins,81,27,82
Matt Paradis,81,30,85
Landon Collins,81,26,87
Johnathan Joseph,81,36,86
Derrius Guice,81,23,85
Michael Gallup,81,24,90
Josh Allen2,81,23,93
D.J. Chark Jr,81,23,90
Lawrence Guy,81,30,92
K.J. Wright,81,31,92
Danny Trevathan,80,30,85
Jabrill Peppers,80,24,87
Bryce Callahan,80,28,87
Latavius Murray,80,29,81
Trai Turner,80,27,92
Trey Burton,80,28,95
Leonard Williams,80,26,85
Elgton Jenkins,80,24,93
JK Scott,80,23,91
Anthony Barr,80,28,85
Carl Lawson,80,25,82
Tremaine Edmunds,80,22,93
Ryan Tannehill,80,32,86
Jason Pierre-Paul,80,31,93
Sony Michel,80,25,87
Mike Pouncey,80,31,82
Dalvin Tomlinson,80,26,88
Curtis Samuel,80,24,90
John Simon,80,29,86
Chase Young,80,21,89
Quandre Diggs,80,27,92
Pierre Desir,80,29,91
Greg Zuerlein,80,32,95
Jamison Crowder,80,27,88
D.J. Fluker,80,29,92
Jarran Reed,80,26,91
Bradley Roby,80,28,87
Kenny Moore II,80,25,88
Duron Harmon,80,29,92
O.J. Howard,80,25,91
Taylor Moton,80,26,97
Marquise Brown,80,23,86
Ben Jones,80,31,92
Deebo Samuel,80,24,91
Chauncey Gardner-Johnson,80,22,88
Miles Sanders,80,23,88
Carlos Hyde,80,29,86
Danny Amendola,80,34,81
Samson Ebukam,80,25,92
Michael Dickson,80,24,90
Bud Dupree,80,27,89
Jessie Bates III,79,23,90
Matt Breida,79,25,83
Takkarist McKinley,79,24,87
Aldrick Rosas,79,25,83
Brian Winters,79,29,87
Mohamed Sanu Sr,79,31,93
Rob Havenstein,79,28,90
D.K. Metcalf,79,22,81
Jayon Brown,79,25,90
Corey Davis,79,25,87
DaQuan Jones,79,28,90
Adrian Clayborn,79,32,87
Brian Poole,79,27,86
Vonn Bell,79,25,88
Ronald Jones II,79,23,85
Brian Burns,79,22,92
Isaiah Wynn,79,24,88
Gerald Everett,79,26,88
Rashaan Evans,79,24,88
Jeffery Simmons Jr,79,23,84
Weston Richburg,79,29,88
Quinton Dunbar,79,28,89
Mike Gesicki,79,24,88
Matt Milano,79,26,94
Jamie Gillan,79,23,87
Tre Boston,79,28,92
Byron Murphy Jr,79,22,86
J.C. Tretter,79,29,85
Malik Jackson,79,30,91
Steve McLendon,79,34,90
Devin Funchess,79,26,88
Derek Wolfe,79,30,87
Derek Carr,79,29,92
James Bradberry IV,79,27,89
Ronald Darby,79,26,87
Jordan Howard,79,25,87
Frank Gore,79,37,87
Dede Westbrook,79,26,83
Graham Gano,79,33,89
Maurice Hurst,79,25,83
Gabe Jackson,79,29,92
Alexander Johnson,78,28,86
Baker Mayfield,78,25,91
Devin White,78,22,92
Christian Kirk,78,23,91
Da'Shawn Hand,78,24,87
Cory Littleton,78,26,86
Thomas Davis Sr,78,37,82
James Washington,78,24,93
David Njoku,78,24,87
Kenny Vaccaro,78,29,92
Trevor Williams,78,26,89
Ha Ha Clinton-Dix,78,27,95
Derrick Nnadi,78,24,89
David Montgomery,78,23,87
Jamaal Williams,78,25,86
Corey Linsley,78,29,87
David Onyemata,78,27,89
Randall Cobb,78,30,87
Cam Newton,78,31,84
Prince Amukamara,78,31,88
Janoris Jenkins,78,31,89
Trae Waynes,78,28,88
Juan Thornhill,78,24,88
Adrian Phillips,78,28,92
Jerick McKinnon,78,28,85
Derrick Brown,78,22,94
Nick Boyle,78,27,92
Pernell McPhee,78,31,83
Erik McCoy,78,23,91
Will Dissly,78,24,89
Britton Colquitt,78,35,91
James Daniels,78,22,86
Trent Murphy,78,29,90
Jack Conklin,78,26,92
Isaiah Simmons,78,22,90
Avonte Maddox,78,24,84
Tashaun Gipson Sr,78,30,93
Dontari Poe,78,30,91
Will Hernandez,78,24,94
Wil Lutz,78,26,82
Andrus Peat,78,26,87
Jimmy Graham,78,33,93
Levi Wallace,78,25,88
Damontae Kazee,78,27,90
Laurent Duvernay-Tardif,78,29,93
Adrian Peterson,78,35,80
Rashaad Penny,78,24,90
Tyrone Crawford,78,30,81
Marquise Goodwin,78,29,85
Jake Matthews,78,28,98
Darius Slayton,78,23,87
Quinnen Williams,78,22,91
Austin Blythe,78,28,93
Willie Snead IV,78,27,90
Dante Pettis,77,24,88
Quinton Spain,77,29,95
Jourdan Lewis,77,25,94
Carlton Davis III,77,23,89
Taron Johnson,77,24,87
Tarik Cohen,77,25,86
Gus Edwards,77,25,88
David Johnson,77,28,86
Tyler Eifert,77,29,76
Ja'Whaun Bentley,77,24,82
Marqise Lee,77,28,85
Nelson Agholor,77,27,89
Adam Humphries,77,27,87
Dalton Risner,77,25,85
Karl Joseph,77,26,83
Tre Flowers,77,25,90
Sean Murphy-Bunting,77,23,90
Chuck Clark,77,25,93
Rodney McLeod Jr,77,30,92
Tracy Walker,77,25,90
Dion Lewis,77,29,83
Al Woods,77,33,88
Quincy Enunwa,77,28,85
Jason Witten,77,38,92
Leonard Floyd,77,27,85
Vince Williams,77,30,81
Malcolm Butler,77,30,90
Mackensie Alexander,77,26,88
Demarcus Robinson,77,25,89
Anthony Sherman,77,31,95
Tyeler Davison,77,27,88
T.J. Hockenson,77,23,91
Michael Palardy,77,28,81
Maxx Crosby,77,23,90
Josh Allen,77,24,87
Kyler Murray,77,23,88
Xavier Woods,77,25,93
Mason Crosby,77,35,90
Marcus Davenport,77,23,87
Phillip Dorsett II,77,27,83
Garrett Bradbury,77,25,86
Dion Dawkins,77,26,89
Ja'Wuan James,77,28,88
Larry Ogunjobi,77,26,90
Cameron Brate,77,29,91
Buster Skrine,77,31,89
Uchenna Nwosu,77,23,92
Giovani Bernard,77,28,83
Derek Barnett,77,24,87
Markus Golden,77,29,90
Dexter Lawrence II,77,22,89
Kendrick Bourne,76,25,88
Bobby Massie,76,31,90
John Ross III,76,24,83
Mario Addison,76,32,90
C.J. Henderson,76,21,85
Charvarius Ward,76,24,88
Chase Edmonds,76,24,84
Chris Thompson,76,29,80
Sean Lee,76,34,78
Rick Wagner,76,30,84
Johnathan Hankins,76,28,90
Carl Nassib,76,27,89
Diontae Johnson,76,24,89
Joe Burrow,76,23,95
Jamel Dean,76,25,78
Anthony Brown,76,26,91
Ito Smith,76,24,88
Raekwon McMillan,76,24,90
Hayden Hurst,76,27,90
Marcedes Lewis,76,36,85
Russell Okung,76,31,80
Adam Butler,76,26,89
Josh Hill,76,30,89
Devin Bush,76,22,89
Vance McDonald,76,30,84
Auden Tate,76,23,91
Jameis Winston,76,26,96
Nick Kwiatkoski,76,27,90
Dre Greenlaw,76,23,85
Javon Kinlaw,76,22,90
Mitch Wishnowsky,76,28,84
Josh Bynes,76,31,84
Graham Glasgow,76,28,89
Brandon McManus,76,29,95
Andrew Billings,76,25,87
Devon Kennard,76,29,86
Shawn Williams,76,29,91
Andrew Sendejo,76,32,87
Darnell Savage,76,23,88
D.J. Hayden,76,30,80
Tavon Young,76,26,85
Gareon Conley,76,25,86
Bradley McDougald,76,29,89
Alex Okafor,76,29,87
Denico Autry,76,30,88
Davon Godchaux,76,25,89
Tahir Whitehead,76,30,95
Marcus Cannon,76,32,84
Anthony Miller,76,25,87
Jordan Hicks,76,28,78
Jared Goff,76,25,90
Andy Lee,76,38,84
Justin Pugh,76,30,88
Josh Norman,76,32,96
K'Waun Williams,76,29,91
Jeff Okudah,76,21,89
Will Parks,76,26,89
Mecole Hardman,76,22,85
J.D. McKissic,76,27,87
Albert Wilson,76,28,91
Chris Conley,76,27,90
Henry Anderson,76,29,82
Shaq Thompson,76,26,93
Henry Ruggs III,76,21,89
Montez Sweat,76,23,85
Dan Bailey,76,32,81
Marcus Gilbert,75,32,78
Bashaud Breeland,75,28,89
Emmanuel Moseley,75,24,92
Taylor Rapp,75,22,91
Antwaun Woods,75,27,86
David Moore,75,25,91
Jordan Berry,75,29,88
Laken Tomlinson,75,28,92
Stephen Hauschka,75,35,90
Antoine Winfield Jr,75,22,88
Daryl Worley,75,25,89
Rock Ya-Sin,75,24,90
Eli Apple,75,25,90
Bobby McCain,75,27,84
Kemoko Turay,75,25,85
Tony Pollard,75,23,89
Mike Davis,75,27,79
Rex Burkhead,75,30,84
Malcolm Brown,75,27,87
J.K. Dobbins,75,21,92
Keelan Cole,75,27,90
Tyus Bowser,75,25,88
Morgan Moses,75,29,89
Poona Ford,75,24,90
Solomon Thomas,75,25,96
Jerry Jeudy,75,21,90
Sam Martin,75,30,92
Corey Peters,75,32,88
Maxx Williams,75,26,83
Teddy Bridgewater,75,27,87
Greedy Williams,75,22,89
Randy Gregory,75,27,84
Royce Freeman,75,24,87
Breshad Perriman,75,26,76
Chase Winovich,75,25,87
Josh Reynolds,75,25,87
Chase Roullier,75,27,93
Sam Hubbard,75,25,92
Mack Wilson,75,22,86
Haason Reddick,75,25,90
Darryl Roberts,75,29,85
Nyheim Hines,75,23,88
B.J. Hill,75,24,91
Seth Roberts,75,29,90
Maliek Collins,75,25,89
Zay Jones,75,25,94
Reuben Foster,75,26,77
Jason Myers,75,29,85
Zach Cunningham,75,25,91
Brian O'Neill,75,24,93
Tajae Sharpe,75,25,89
Ted Ginn Jr,75,35,89
Cordarrelle Patterson,75,29,94
Shelby Harris,75,29,90
Cre'Von LeBlanc,75,26,86
Sidney Jones IV,75,24,77
Trayvon Mullen,75,22,87
CeeDee Lamb,75,21,93
Shaq Lawson,75,26,84
Emmanuel Ogbah,75,26,90
Dean Lowry,75,26,91
Jonnu Smith,75,25,88
Irv Smith Jr,75,22,93
Bilal Nichols,74,23,88
Todd Davis,74,28,94
Noah Fant,74,22,89
Eric Fisher,74,29,91
Xavier Rhodes,74,30,88
Fabian Moreau,74,26,85
Patrick Robinson,74,32,87
Erik Harris,74,30,89
Anthony Levine Sr,74,33,88
Jakeem Grant,74,27,83
Clyde Edwards-Helaire,74,21,89
D'Andre Swift,74,21,86
Peyton Barber,74,26,88
Ty Montgomery II,74,27,82
Aaron Lynch,74,27,88
Connor McGovern,74,27,90
Yetur Gross-Matos,74,22,89
Cody Latimer,74,27,81
Jacob Hollister,74,26,84
Mike Iupati,74,33,88
Kamalei Correa,74,26,89
Harrison Phillips,74,24,88
Terrell Edmunds,74,23,88
P.J. Williams,74,27,90
Zach Pascal,74,25,86
Rashaan Melvin,74,30,86
Jake Elliott,74,25,86
Jalen Richard,74,26,88
Kyler Fackrell,74,28,86
Patrick Onwuasor,74,28,89
Taylor Decker,74,26,91
Alec Ingold,74,24,89
A'Shawn Robinson,74,25,92
Darren Fells,74,34,90
Vic Beasley Jr,74,28,90
Trent Taylor,74,26,88
Jon Feliciano,74,28,90
Rashard Higgins,74,25,90
Bradley Pinion,74,26,92
Ryan Fitzpatrick,74,37,89
Ronnie Harrison,74,23,92
Jason Verrett,74,29,71
Troy Hill,74,29,89
Jerome Baker,74,23,91
Matt Haack,74,26,94
Corey Clement,74,25,85
Alexander Mattison,74,22,88
K'Lavon Chaisson,74,21,87
Jordan Jenkins,74,26,86
Marquez Valdes-Scantling,74,25,90
Hunter Renfrow,74,24,86
Trey Hendrickson,74,25,92
Margus Hunt,74,33,85
Tre'Quan Smith,74,24,92
Bruce Irvin,74,32,94
Benson Mayowa,74,29,88
Zach Fulton,74,28,92
Andy Janovich,74,27,86
William Gholston,74,29,87
Jeff Heath,74,29,91
Rigoberto Sanchez,74,25,91
Tre Herndon,74,24,83
Xavier McKinney,74,22,88
Khari Willis,74,24,89
Christian Wilkins,74,24,94
Justin Jackson,74,24,91
Taven Bryan,74,24,94
Damiere Byrd,74,27,81
N'Keal Harry,74,22,91
Travis Benjamin,74,30,81
De'Vondre Campbell,74,27,90
Zane Gonzalez,74,25,86
Mike Hughes,74,23,89
Ahkello Witherspoon,74,25,88
Eric Rowe,74,27,84
Allen Bailey,74,31,91
Deatrich Wise Jr,74,26,89
Justin Jefferson,74,21,89
Nick Vigil,73,27,90
Mark Glowinski,73,28,92
Anthony Walker Jr,73,25,93
Kendall Sheffield,73,24,83
J.J. Arcega-Whiteside,73,23,88
Jalen Reagor,73,21,90
Lorenzo Carter,73,24,89
Tim Williams,73,26,88
Noah Spence,73,26,85
Brennan Scarlett,73,27,76
Lee Smith,73,32,84
Sam Darnold,73,23,88
Mike Pennel Jr,73,29,92
Ricky Seals-Jones,73,25,85
D.J. Swearinger Sr,73,29,93
Kyle Dugger,73,24,85
Rasul Douglas,73,25,90
Vernon Hargreaves III,73,25,84
Allen Hurns,73,28,86
Jordan Whitehead,73,23,84
Jarrod Wilson,73,26,91
Josh Sweat,73,23,86
Jonathan Taylor,73,21,90
Joey Slye,73,24,89
Kolton Miller,73,24,87
Bryan Anger,73,31,97
Robert Foster,73,26,88
Jordan Phillips,73,27,78
Tua Tagovailoa,73,22,84
Anthony Hitchens,73,28,94
Maurice Canady,73,26,88
Julian Love,73,22,90
Terrance Mitchell,73,28,86
DeAndre Washington,73,27,90
P.J. Hall,73,25,92
Matt Skura,73,27,89
Ross Blacklock,73,22,85
Keke Coutee,73,23,89
Pat O'Donnell,73,29,85
Star Lotulelei,73,30,88
J.R. Sweezy,73,31,87
Michael Davis,73,25,88
Nevin Lawson,73,29,89
Ereck Flowers,73,26,84
Kevin King,73,25,86
Genard Avery,73,25,86
T.J. Yeldon,73,26,84
Wayne Gallman Jr,73,25,89
Nathan Shepherd,73,26,90
Geronimo Allison,73,26,87
Christian Jones,73,29,94
Dustin Hopkins,73,29,87
Alex Anzalone,73,25,78
Shaquem Griffin,73,25,91
C.J. Ham,73,27,90
Ronald Blair III,73,27,87
Willie Henry,73,26,87
Randy Bullock,73,30,87
Logan Wilson,73,24,94
Jedrick Wills Jr,73,21,91
D.J. Humphries,73,26,82
Kenneth Murray Jr,73,21,89
Johnathan Abram,73,23,88
Jaylon Johnson,73,21,83
Blessuan Austin,73,24,78
Robert Alford,73,31,86
Mike Edwards,73,24,86
Jalen Thompson,73,22,89
Preston Williams,73,23,83
Foyesade Oluokun,73,25,89
Cam Akers,73,21,89
Clelin Ferrell,73,23,87
Demetrius Harris,72,29,90
Eddy Pineiro,72,24,85
Alex Erickson,72,27,88
C.J. Uzomah,72,27,88
Ty Nsekhe,72,34,85
Drue Tranquill,72,25,81
E.J. Gaines,72,28,90
Darius Phillips,72,24,87
Eric Murray,72,26,91
Chris Lindstrom,72,23,93
A.J. Dillon,72,22,91
Jaylon Ferguson,72,24,88
Ka'imi Fairbairn,72,26,83
Jonah Williams,72,22,87
A.J. Epenesa,72,21,92
A.J. Klein,72,29,91
Isaiah McKenzie,72,25,87
Taywan Taylor,72,25,94
Andy Isabella,72,23,88
Bobby Okereke,72,24,90
Grant Delpit,72,21,86
Jatavis Brown,72,26,88
Terrell Burgess,72,21,89
Jordan Wilkins,72,26,82
Justice Hill,72,22,86
Josh Bellamy,72,31,86
Folorunso Fatukasi,72,25,88
Benny Snell Jr,72,22,94
Beau Allen,72,28,93
Brandon Copeland,72,29,87
Josh Uche,72,21,85
Miles Boykin,72,23,87
Shaun Dion Hamilton,72,24,78
Kiko Alonso,72,30,78
Tyson Alualu,72,33,95
Charles Omenihu,72,23,89
Jack Crawford,72,31,83
Anthony Zettel,72,28,92
Denzel Perryman,72,27,83
Jerry Tillery,72,23,85
Breeland Speaks,72,24,88
Damien Wilson,72,27,88
Andy Dalton,72,32,96
Kevin Johnson,72,28,74
Abry Jones,72,28,87
Laviska Shenault Jr,72,21,85
Mekhi Becton,72,21,93
Rashan Gary,72,22,86
Christian Kirksey,72,28,92
Duke Ejiofor,72,25,86
Brandon Aiyuk,72,22,92
Parris Campbell,72,23,89
Jason Sanders,72,24,83
Ken Crawley,72,27,90
Oshane Ximines,72,23,88
Boston Scott,72,25,87
Jaylen Samuels,72,24,91
Christopher Herndon IV,72,24,88
Alex Lewis,72,28,89
Patrick Queen,72,21,90
Cole Holcomb,72,24,91
Cody Barton,72,23,84
Ryan Switzer,72,25,92
Khari Blasingame,72,24,88
D.J. Jones,72,25,90
Mitchell Trubisky,72,26,91
Daniel Jones,72,23,87
Blake Jarwin,72,26,89
Sean Davis,72,26,90
Quincy Wilson,72,24,87
DeAndre Baker,72,23,87
Jalen Mills,72,26,88
Matthias Farley,72,28,90
Jaylen Watkins,72,28,88
Blake Martinez,72,26,92
Ryan Griffin,72,30,88
Jake Bailey,72,23,84
Marquel Lee,72,24,93
Trey Quinn,72,24,87
Steven Sims,72,23,89
Malcom Brown,72,26,92
Pat Elflein,72,26,92
Roy Robertson-Harris,71,27,87
Vernon Butler Jr,71,26,90
Daryl Williams,71,28,89
Netane Muti,71,21,78
Jordan Love,71,21,92
Tyquan Lewis,71,25,89
Dorance Armstrong,71,23,87
Joe Thomas,71,29,90
Isaiah Oliver,71,23,91
Terrence Brooks,71,28,83
Andrew Thomas,71,21,87
Braden Mann,71,22,88
Darrell Henderson Jr,71,23,89
Justin Ellis,71,29,88
L.J. Fort,71,30,92
Kelvin Harmon,71,23,92
Cesar Ruiz,71,21,92
Dylan Cole,71,26,84
Richie James Jr,71,24,86
Brent Urban,71,29,73
Corey Bojorquez,71,24,87
Tyler Kroft,71,27,84
Kendell Beckwith,71,25,84
Hakeem Butler,71,24,92
Michael Badgley,71,25,89
Virgil Green,71,32,88
Michael Pittman Jr,71,22,86
Marquise Blair,71,23,85
Daniel Sorensen,71,30,88
Cassius Marsh Sr,71,28,92
Bryce Love,71,23,80
Justin Madubuike,71,22,91
Jordyn Brooks,71,22,85
Matt Feiler,71,28,87
Tytus Howard,71,24,86
Mike Remmers,71,31,89
Aldon Smith,71,30,88
Connor Williams,71,23,85
Holton Hill,71,23,85
T.J. Carrie,71,30,79
Amani Oruwariye,71,24,87
K'Von Wallace,71,23,90
Michael Thomas,71,30,90
James O'Shaughnessy,71,28,85
Cam Robinson,71,24,93
Josh Doctson,71,27,84
Tyler Lancaster,71,25,86
Allen Lazard,71,24,81
Bradley Bozeman,71,25,88
Ryan Anderson,71,26,89
Derek Watt,71,27,90
Ben Gedeon,71,25,94
Riley Reiff,71,31,92
Tee Higgins,71,21,88
Dawson Knox,71,23,83
Christian Covington,71,26,81
Khalen Saunders,71,24,90
Jacoby Brissett,71,27,91
Vince Biegel,71,27,85
Isaiah Ford,71,24,89
Lonnie Johnson Jr,71,24,88
Jeff Gladney,71,23,86
Nik Needham,71,23,85
Mike Ford,71,25,85
Marlon Davidson,71,22,93
Nasir Adderley,71,23,86
Deadrin Senat,71,26,91
Taiwan Jones,71,32,88
Marvin Hall Jr,71,27,85
Kalen Ballage,71,24,91
Romeo Okwara,71,25,88
Jahlani Tavai,71,23,84
Jordan Akins,71,28,84
Eric Wilson,71,25,87
Austin Seibert,71,23,86
Tristan Wirfs,71,21,92
Nick Foles,71,31,87
Trysten Hill,71,22,90
Raekwon Davis,71,23,89
